year,nestbox_id,lat_dd,lon_dd,species,lay_date,clutch_size,ld_doy
1970,HV.0006.0,52.0420326030747,5.83811011832431,great tit,1970-05-13,11,133
1971,HV.0006.0,52.0420326030747,5.83811011832431,great tit,1971-05-02,8,122
1973,HV.0006.0,52.0456148927123,5.85255546221492,pied flycatcher,1973-05-11,7,131
1974,HV.0006.0,52.0456148927123,5.85255546221492,great tit,1974-04-17,7,107
1975,HV.0006.0,52.0456148927123,5.85255546221492,great tit,1975-06-20,9,171
1976,HV.0006.0,52.0456148927123,5.85255546221492,great tit,1976-05-03,9,124
1977,HV.0006.0,52.0456148927123,5.85255546221492,great tit,1977-05-01,11,121
1978,HV.0006.0,52.0456148927123,5.85255546221492,great tit,1978-05-30,6,150
1979,HV.0006.0,52.0456148927123,5.85255546221492,tree sparrow,1979-05-12,5,132
1980,HV.0006.0,52.0456148927123,5.85255546221492,pied flycatcher,1980-05-20,6,141
1981,HV.0006.0,52.0456148927123,5.85255546221492,tree sparrow,1981-04-29,6,119
1982,HV.0006.0,52.0456148927123,5.85255546221492,tree sparrow,1982-04-27,5,117
1983,HV.0006.0,52.0456148927123,5.85255546221492,great tit,1983-04-25,11,115
1984,HV.0006.0,52.0456148927123,5.85255546221492,great tit,1984-04-27,9,118
1985,HV.0006.0,52.0456148927123,5.85255546221492,coal tit,1985-04-17,9,107
1986,HV.0006.0,52.0456148927123,5.85255546221492,pied flycatcher,1986-05-16,7,136
1987,HV.0006.0,52.0456148927123,5.85255546221492,great tit,1987-04-23,9,113
1988,HV.0006.0,52.0456148927123,5.85255546221492,blue tit,1988-04-24,9,115
1989,HV.0006.0,52.0456148927123,5.85255546221492,pied flycatcher,1989-05-08,6,128
1990,HV.0006.0,52.0456148927123,5.85255546221492,great tit,1990-04-09,9,99
1991,HV.0006.0,52.0456148927123,5.85255546221492,great tit,1991-06-11,8,162
1992,HV.0006.0,52.0456148927123,5.85255546221492,coal tit,1992-04-14,9,105
1993,HV.0006.0,52.0456148927123,5.85255546221492,great tit,1993-04-26,9,116
1994,HV.0006.0,52.0456148927123,5.85255546221492,pied flycatcher,1994-05-06,6,126
1995,HV.0006.0,52.0456148927123,5.85255546221492,blue tit,1995-04-20,14,110
1996,HV.0006.0,52.0456148927123,5.85255546221492,great tit,1996-05-02,8,123
1997,HV.0006.0,52.0456148927123,5.85255546221492,pied flycatcher,1997-05-03,6,123
1998,HV.0006.0,52.0456148927123,5.85255546221492,great tit,1998-04-19,11,109
2000,HV.0006.0,52.0456148927123,5.85255546221492,pied flycatcher,2000-05-12,7,133
2001,HV.0006.0,52.0456148927123,5.85255546221492,pied flycatcher,2001-05-08,7,128
2002,HV.0006.0,52.0456148927123,5.85255546221492,great tit,2002-06-05,8,156
2003,HV.0006.0,52.0456148927123,5.85255546221492,pied flycatcher,2003-05-02,6,122
2004,HV.0006.0,52.0456148927123,5.85255546221492,pied flycatcher,2004-04-29,6,120
2005,HV.0006.0,52.0456148927123,5.85255546221492,pied flycatcher,2005-05-04,7,124
2007,HV.0006.0,52.0456148927123,5.85255546221492,blue tit,2007-04-22,7,112
2008,HV.0006.0,52.0456148927123,5.85255546221492,great tit,2008-04-14,10,105
2009,HV.0006.0,52.0456148927123,5.85255546221492,pied flycatcher,2009-05-03,6,123
2010,HV.0006.0,52.0456148927123,5.85255546221492,great tit,2010-04-11,7,101
2011,HV.0006.0,52.0456148927123,5.85255546221492,pied flycatcher,2011-05-03,7,123
2012,HV.0006.0,52.0456148927123,5.85255546221492,great tit,2012-04-22,9,113
2013,HV.0006.0,52.0456148927123,5.85255546221492,pied flycatcher,2013-05-13,6,133
2014,HV.0006.0,52.0456148927123,5.85255546221492,blue tit,2014-04-13,10,103
2015,HV.0006.0,52.0456148927123,5.85255546221492,great tit,2015-04-25,4,115
2016,HV.0006.0,52.0456148927123,5.85255546221492,great tit,2016-05-01,6,122
2017,HV.0006.0,52.0456148927123,5.85255546221492,blue tit,2017-04-02,11,92
2018,HV.0006.0,52.0456148927123,5.85255546221492,pied flycatcher,2018-04-26,7,116
2019,HV.0006.0,52.0456148927123,5.85255546221492,pied flycatcher,2019-04-29,7,119
2020,HV.0006.0,52.0456148927123,5.85255546221492,great tit,2020-04-21,8,112
2021,HV.0006.0,52.0456148927123,5.85255546221492,pied flycatcher,2021-04-26,6,116
2022,HV.0006.0,52.0456148927123,5.85255546221492,great tit,2022-04-15,8,105
2023,HV.0006.0,52.0456148927123,5.85255546221492,pied flycatcher,2023-05-02,8,122
2025,HV.0006.0,52.0456148927123,5.85255546221492,pied flycatcher,2025-04-26,6,116
1955,HV.0007.0,52.0433092739692,5.8390400990235,great tit,1955-04-27,9,117
1957,HV.0007.0,52.0433092739692,5.8390400990235,great tit,1957-04-09,8,99
1958,HV.0007.0,52.0433092739692,5.8390400990235,coal tit,1958-06-30,7,181
1959,HV.0007.0,52.0433092739692,5.8390400990235,great tit,1959-04-15,12,105
1961,HV.0007.0,52.0433092739692,5.8390400990235,great tit,1961-04-16,13,106
1963,HV.0007.0,52.0433092739692,5.8390400990235,great tit,1963-06-07,10,158
1965,HV.0007.0,52.0433092739692,5.8390400990235,great tit,1965-06-05,9,156
1967,HV.0007.0,52.0433092739692,5.8390400990235,great tit,1967-06-07,9,158
1968,HV.0007.0,52.0433092739692,5.8390400990235,great tit,1968-06-04,8,156
1969,HV.0007.0,52.0433092739692,5.8390400990235,coal tit,1969-04-25,10,115
1970,HV.0007.0,52.0433092739692,5.8390400990235,great tit,1970-04-28,12,118
1971,HV.0007.0,52.0433092739692,5.8390400990235,coal tit,1971-04-18,10,108
1972,HV.0007.0,52.0433092739692,5.8390400990235,redstart,1972-05-21,7,142
1973,HV.0007.0,52.0453010095093,5.85237727515707,great tit,1973-04-24,13,114
1974,HV.0007.0,52.0453010095093,5.85237727515707,great tit,1974-04-30,10,120
1975,HV.0007.0,52.0453010095093,5.85237727515707,great tit,1975-04-28,12,118
1976,HV.0007.0,52.0453010095093,5.85237727515707,great tit,1976-05-16,8,137
1977,HV.0007.0,52.0453010095093,5.85237727515707,great tit,1977-04-26,10,116
1978,HV.0007.0,52.0453010095093,5.85237727515707,great tit,1978-05-01,12,121
1979,HV.0007.0,52.0453010095093,5.85237727515707,great tit,1979-06-11,8,162
1980,HV.0007.0,52.0453010095093,5.85237727515707,great tit,1980-04-18,12,109
1981,HV.0007.0,52.0453010095093,5.85237727515707,tree sparrow,1981-05-05,5,125
1982,HV.0007.0,52.0453010095093,5.85237727515707,pied flycatcher,1982-05-04,6,124
1983,HV.0007.0,52.0453010095093,5.85237727515707,great tit,1983-06-05,8,156
1984,HV.0007.0,52.0453010095093,5.85237727515707,great tit,1984-06-21,7,173
1986,HV.0007.0,52.0453010095093,5.85237727515707,pied flycatcher,1986-05-08,6,128
1987,HV.0007.0,52.0453010095093,5.85237727515707,great tit,1987-04-19,11,109
1988,HV.0007.0,52.0453010095093,5.85237727515707,great tit,1988-05-03,7,124
1990,HV.0007.0,52.0453010095093,5.85237727515707,pied flycatcher,1990-05-12,7,132
1991,HV.0007.0,52.0453010095093,5.85237727515707,blue tit,1991-04-18,9,108
1992,HV.0007.0,52.0453010095093,5.85237727515707,pied flycatcher,1992-05-24,6,145
1993,HV.0007.0,52.0453010095093,5.85237727515707,great tit,1993-04-23,9,113
1994,HV.0007.0,52.0453010095093,5.85237727515707,great tit,1994-04-17,8,107
1995,HV.0007.0,52.0453010095093,5.85237727515707,great tit,1995-04-25,8,115
1996,HV.0007.0,52.0453010095093,5.85237727515707,blue tit,1996-04-24,3,115
1997,HV.0007.0,52.0453010095093,5.85237727515707,great tit,1997-06-01,8,152
2001,HV.0007.0,52.0453010095093,5.85237727515707,great tit,2001-04-27,9,117
2002,HV.0007.0,52.0453010095093,5.85237727515707,great tit,2002-04-21,9,111
2003,HV.0007.0,52.0453010095093,5.85237727515707,great tit,2003-04-21,15,111
2005,HV.0007.0,52.0453010095093,5.85237727515707,pied flycatcher,2005-04-29,7,119
2006,HV.0007.0,52.0453010095093,5.85237727515707,great tit,2006-04-27,9,117
2007,HV.0007.0,52.0453010095093,5.85237727515707,nuthatch,2007-04-08,8,98
2008,HV.0007.0,52.0453010095093,5.85237727515707,great tit,2008-04-14,10,105
2009,HV.0007.0,52.0453010095093,5.85237727515707,great tit,NA,0,NA
2010,HV.0007.0,52.0453010095093,5.85237727515707,great tit,2010-04-13,12,103
2011,HV.0007.0,52.0453010095093,5.85237727515707,great tit,2011-04-13,11,103
2012,HV.0007.0,52.0453010095093,5.85237727515707,great tit,2012-04-18,9,109
2013,HV.0007.0,52.0453010095093,5.85237727515707,pied flycatcher,2013-05-09,6,129
2014,HV.0007.0,52.0453010095093,5.85237727515707,great tit,2014-04-16,7,106
2015,HV.0007.0,52.0453010095093,5.85237727515707,blue tit,2015-04-19,12,109
2016,HV.0007.0,52.0453010095093,5.85237727515707,pied flycatcher,2016-05-08,6,129
2017,HV.0007.0,52.0453010095093,5.85237727515707,pied flycatcher,2017-04-27,6,117
2019,HV.0007.0,52.0453010095093,5.85237727515707,blue tit,2019-04-12,10,102
2020,HV.0007.0,52.0453010095093,5.85237727515707,pied flycatcher,2020-04-24,8,115
2021,HV.0007.0,52.0453010095093,5.85237727515707,blue tit,2021-04-26,9,116
2022,HV.0007.0,52.0453010095093,5.85237727515707,pied flycatcher,2022-04-27,7,117
2023,HV.0007.0,52.0453010095093,5.85237727515707,blue tit,2023-04-19,10,109
2024,HV.0007.0,52.0453010095093,5.85237727515707,pied flycatcher,2024-05-07,7,128
2025,HV.0007.0,52.0453010095093,5.85237727515707,pied flycatcher,2025-04-27,8,117
1955,HV.0008.0,52.0433092739692,5.83825732286228,great tit,1955-06-24,11,175
1957,HV.0008.0,52.0433092739692,5.83825732286228,great tit,1957-05-31,7,151
1964,HV.0008.0,52.0433092739692,5.83825732286228,great tit,1964-04-24,12,115
1965,HV.0008.0,52.0433092739692,5.83825732286228,great tit,1965-04-14,11,104
1966,HV.0008.0,52.0433092739692,5.83825732286228,great tit,1966-06-02,9,153
1967,HV.0008.0,52.0433092739692,5.83825732286228,great tit,1967-04-25,8,115
1968,HV.0008.0,52.0433092739692,5.83825732286228,great tit,1968-04-25,9,116
1969,HV.0008.0,52.0433092739692,5.83825732286228,great tit,1969-06-17,5,168
1971,HV.0008.0,52.0433092739692,5.83825732286228,great tit,1971-04-20,10,110
1972,HV.0008.0,52.0433092739692,5.83825732286228,pied flycatcher,1972-05-15,6,136
1973,HV.0008.0,52.0452099785076,5.85266786662588,great tit,1973-04-21,13,111
1974,HV.0008.0,52.0452099785076,5.85266786662588,great tit,1974-04-13,12,103
1975,HV.0008.0,52.0452099785076,5.85266786662588,great tit,1975-04-29,9,119
1976,HV.0008.0,52.0452099785076,5.85266786662588,great tit,1976-04-26,10,117
1977,HV.0008.0,52.0452099785076,5.85266786662588,blue tit,1977-04-27,10,117
1978,HV.0008.0,52.0452099785076,5.85266786662588,tree sparrow,1978-05-03,5,123
1979,HV.0008.0,52.0452099785076,5.85266786662588,tree sparrow,1979-05-01,4,121
1980,HV.0008.0,52.0452099785076,5.85266786662588,tree sparrow,1980-04-26,4,117
1981,HV.0008.0,52.0452099785076,5.85266786662588,great tit,1981-04-27,0,117
1982,HV.0008.0,52.0452099785076,5.85266786662588,tree sparrow,1982-05-01,5,121
1983,HV.0008.0,52.0452099785076,5.85266786662588,great tit,1983-06-02,10,153
1984,HV.0008.0,52.0452099785076,5.85266786662588,great tit,1984-05-01,8,122
1985,HV.0008.0,52.0452099785076,5.85266786662588,pied flycatcher,1985-05-03,7,123
1986,HV.0008.0,52.0452099785076,5.85266786662588,great tit,1986-04-30,12,120
1987,HV.0008.0,52.0452099785076,5.85266786662588,blue tit,1987-04-22,13,112
1988,HV.0008.0,52.0452099785076,5.85266786662588,great tit,1988-04-27,9,118
1989,HV.0008.0,52.0452099785076,5.85266786662588,great tit,1989-05-05,8,125
1990,HV.0008.0,52.0452099785076,5.85266786662588,great tit,1990-04-21,10,111
1991,HV.0008.0,52.0452099785076,5.85266786662588,pied flycatcher,1991-05-13,7,133
1992,HV.0008.0,52.0452099785076,5.85266786662588,great tit,1992-04-20,11,111
1993,HV.0008.0,52.0452099785076,5.85266786662588,blue tit,1993-05-02,10,122
1994,HV.0008.0,52.0452099785076,5.85266786662588,tree sparrow,1994-06-05,6,156
1995,HV.0008.0,52.0452099785076,5.85266786662588,pied flycatcher,1995-05-03,7,123
1996,HV.0008.0,52.0452099785076,5.85266786662588,great tit,1996-05-02,0,123
1997,HV.0008.0,52.0452099785076,5.85266786662588,great tit,1997-04-15,12,105
1998,HV.0008.0,52.0452099785076,5.85266786662588,great tit,1998-04-13,9,103
1999,HV.0008.0,52.0452099785076,5.85266786662588,great tit,1999-04-23,11,113
2000,HV.0008.0,52.0452099785076,5.85266786662588,great tit,2000-05-25,7,146
2001,HV.0008.0,52.0452099785076,5.85266786662588,pied flycatcher,2001-05-10,6,130
2002,HV.0008.0,52.0452099785076,5.85266786662588,great tit,2002-04-27,6,117
2003,HV.0008.0,52.0452099785076,5.85266786662588,pied flycatcher,2003-05-07,6,127
2004,HV.0008.0,52.0452099785076,5.85266786662588,great tit,2004-04-30,9,121
2005,HV.0008.0,52.0452099785076,5.85266786662588,great tit,2005-04-08,9,98
2006,HV.0008.0,52.0452099785076,5.85266786662588,pied flycatcher,2006-04-28,7,118
2007,HV.0008.0,52.0452099785076,5.85266786662588,great tit,2007-04-18,7,108
2008,HV.0008.0,52.0452099785076,5.85266786662588,great tit,2008-04-19,9,110
2009,HV.0008.0,52.0452099785076,5.85266786662588,great tit,2009-04-15,10,105
2010,HV.0008.0,52.0452099785076,5.85266786662588,great tit,2010-04-12,12,102
2011,HV.0008.0,52.0452099785076,5.85266786662588,pied flycatcher,2011-04-23,7,113
2012,HV.0008.0,52.0452099785076,5.85266786662588,blue tit,2012-04-08,15,99
2013,HV.0008.0,52.0452099785076,5.85266786662588,pied flycatcher,2013-05-28,5,148
2014,HV.0008.0,52.0452099785076,5.85266786662588,blue tit,2014-04-13,12,103
2015,HV.0008.0,52.0452099785076,5.85266786662588,great tit,2015-04-21,4,111
2016,HV.0008.0,52.0452099785076,5.85266786662588,nuthatch,2016-04-14,8,105
2017,HV.0008.0,52.0452099785076,5.85266786662588,blue tit,2017-04-03,12,93
2018,HV.0008.0,52.0452099785076,5.85266786662588,blue tit,2018-04-17,10,107
2019,HV.0008.0,52.0452099785076,5.85266786662588,pied flycatcher,2019-05-01,7,121
2020,HV.0008.0,52.0452099785076,5.85266786662588,great tit,2020-04-23,6,114
2021,HV.0008.0,52.0452099785076,5.85266786662588,great tit,2021-04-23,7,113
2024,HV.0008.0,52.0452099785076,5.85266786662588,great tit,2024-04-05,11,96
1956,HV.0009.0,52.043153725493,5.83471676607155,great tit,1956-04-30,10,121
1957,HV.0009.0,52.043153725493,5.83471676607155,great tit,1957-04-18,9,108
1959,HV.0009.0,52.043153725493,5.83471676607155,great tit,1959-04-17,11,107
1960,HV.0009.0,52.043153725493,5.83471676607155,great tit,1960-06-13,9,165
1961,HV.0009.0,52.043153725493,5.83471676607155,great tit,1961-04-20,9,110
1962,HV.0009.0,52.043153725493,5.83471676607155,great tit,1962-05-02,7,122
1964,HV.0009.0,52.043153725493,5.83471676607155,blue tit,1964-04-25,11,116
1965,HV.0009.0,52.043153725493,5.83471676607155,great tit,1965-04-25,12,115
1966,HV.0009.0,52.043153725493,5.83471676607155,great tit,1966-06-07,5,158
1967,HV.0009.0,52.043153725493,5.83471676607155,redstart,1967-05-19,7,139
1968,HV.0009.0,52.043153725493,5.83471676607155,blue tit,1968-04-24,12,115
1969,HV.0009.0,52.043153725493,5.83471676607155,blue tit,1969-06-22,7,173
1970,HV.0009.0,52.043153725493,5.83471676607155,great tit,1970-06-16,7,167
1971,HV.0009.0,52.043153725493,5.83471676607155,great tit,1971-04-25,8,115
1972,HV.0009.0,52.043153725493,5.83471676607155,blue tit,1972-04-24,10,115
1973,HV.0009.0,52.0449644799067,5.85337957665026,great tit,1973-06-16,7,167
1974,HV.0009.0,52.0449644799067,5.85337957665026,great tit,1974-06-11,5,162
1975,HV.0009.0,52.0449644799067,5.85337957665026,great tit,1975-05-02,7,122
1976,HV.0009.0,52.0449644799067,5.85337957665026,great tit,1976-03-31,0,91
1977,HV.0009.0,52.0449644799067,5.85337957665026,tree sparrow,1977-05-05,5,125
1978,HV.0009.0,52.0449644799067,5.85337957665026,pied flycatcher,1978-05-07,6,127
1979,HV.0009.0,52.0449644799067,5.85337957665026,tree sparrow,1979-05-08,6,128
1980,HV.0009.0,52.0449644799067,5.85337957665026,great tit,1980-05-03,9,124
1981,HV.0009.0,52.0449644799067,5.85337957665026,tree sparrow,1981-05-05,4,125
1982,HV.0009.0,52.0449644799067,5.85337957665026,great tit,1982-04-20,9,110
1983,HV.0009.0,52.0449644799067,5.85337957665026,great tit,1983-04-28,9,118
1984,HV.0009.0,52.0449644799067,5.85337957665026,great tit,1984-04-24,8,115
1986,HV.0009.0,52.0449644799067,5.85337957665026,great tit,1986-04-29,13,119
1987,HV.0009.0,52.0449644799067,5.85337957665026,great tit,1987-04-23,10,113
1988,HV.0009.0,52.0449644799067,5.85337957665026,blue tit,1988-04-20,11,111
1989,HV.0009.0,52.0449644799067,5.85337957665026,blue tit,1989-04-20,0,110
1990,HV.0009.0,52.0449644799067,5.85337957665026,great tit,1990-06-08,8,159
1991,HV.0009.0,52.0449644799067,5.85337957665026,pied flycatcher,1991-05-14,7,134
1992,HV.0009.0,52.0449644799067,5.85337957665026,great tit,1992-04-13,12,104
1993,HV.0009.0,52.0449644799067,5.85337957665026,pied flycatcher,1993-05-11,6,131
1994,HV.0009.0,52.0449644799067,5.85337957665026,great tit,1994-04-22,10,112
1995,HV.0009.0,52.0449644799067,5.85337957665026,pied flycatcher,1995-05-07,6,127
1996,HV.0009.0,52.0449644799067,5.85337957665026,great tit,1996-04-28,10,119
1997,HV.0009.0,52.0449644799067,5.85337957665026,blue tit,1997-04-22,14,112
2000,HV.0009.0,52.0449644799067,5.85337957665026,blue tit,2000-04-11,11,102
2001,HV.0009.0,52.0449644799067,5.85337957665026,great tit,2001-04-21,7,111
2002,HV.0009.0,52.0449644799067,5.85337957665026,great tit,2002-04-13,7,103
2003,HV.0009.0,52.0449644799067,5.85337957665026,great tit,2003-04-17,7,107
2004,HV.0009.0,52.0449644799067,5.85337957665026,pied flycatcher,2004-06-03,4,155
2005,HV.0009.0,52.0449644799067,5.85337957665026,great tit,2005-04-11,7,101
2006,HV.0009.0,52.0449644799067,5.85337957665026,pied flycatcher,2006-05-02,6,122
2007,HV.0009.0,52.0449644799067,5.85337957665026,blue tit,2007-04-08,12,98
2008,HV.0009.0,52.0449644799067,5.85337957665026,great tit,2008-04-17,0,108
2009,HV.0009.0,52.0449644799067,5.85337957665026,pied flycatcher,2009-05-22,6,142
2010,HV.0009.0,52.0449644799067,5.85337957665026,pied flycatcher,2010-05-03,3,123
2011,HV.0009.0,52.0449644799067,5.85337957665026,great tit,2011-04-12,12,102
2012,HV.0009.0,52.0449644799067,5.85337957665026,great tit,2012-04-25,7,116
2013,HV.0009.0,52.0449644799067,5.85337957665026,pied flycatcher,2013-05-06,6,126
2014,HV.0009.0,52.0449644799067,5.85337957665026,great tit,2014-04-16,9,106
2015,HV.0009.0,52.0449644799067,5.85337957665026,great tit,2015-04-22,10,112
2016,HV.0009.0,52.0449644799067,5.85337957665026,blue tit,2016-04-16,11,107
2017,HV.0009.0,52.0449644799067,5.85337957665026,great tit,2017-05-03,0,123
2018,HV.0009.0,52.0449644799067,5.85337957665026,great tit,2018-04-17,9,107
2019,HV.0009.0,52.0449644799067,5.85337957665026,great tit,2019-04-08,9,98
2020,HV.0009.0,52.0449644799067,5.85337957665026,blue tit,2020-04-14,12,105
2021,HV.0009.0,52.0449644799067,5.85337957665026,great tit,2021-04-21,9,111
2022,HV.0009.0,52.0449644799067,5.85337957665026,pied flycatcher,2022-04-28,7,118
2023,HV.0009.0,52.0449644799067,5.85337957665026,great tit,2023-04-20,7,110
2024,HV.0009.0,52.0449644799067,5.85337957665026,nuthatch,2024-04-05,8,96
2025,HV.0009.0,52.0449644799067,5.85337957665026,great tit,2025-04-16,11,106
1998,HV.0009.1,52.0407254,5.85573,pied flycatcher,1998-05-02,5,122
1998,HV.0009.2,52.0407254,5.85573,pied flycatcher,1998-05-18,5,138
1955,HV.0010.0,52.0439907180555,5.83525868802931,great tit,1955-05-10,8,130
1956,HV.0010.0,52.0439907180555,5.83525868802931,coal tit,1956-04-23,10,114
1958,HV.0010.0,52.0439907180555,5.83525868802931,great tit,1958-06-20,9,171
1959,HV.0010.0,52.0439907180555,5.83525868802931,coal tit,1959-04-09,9,99
1961,HV.0010.0,52.0439907180555,5.83525868802931,great tit,1961-05-24,2,144
1969,HV.0010.0,52.0439907180555,5.83525868802931,great tit,1969-04-30,10,120
1970,HV.0010.0,52.0439907180555,5.83525868802931,great tit,1970-04-30,10,120
1971,HV.0010.0,52.0439907180555,5.83525868802931,great tit,1971-04-25,9,115
1972,HV.0010.0,52.0439907180555,5.83525868802931,great tit,1972-05-23,7,144
1973,HV.0010.0,52.044799,5.851935,pied flycatcher,1973-05-08,5,128
1974,HV.0010.0,52.044799,5.851935,great tit,1974-04-15,6,105
1975,HV.0010.0,52.044799,5.851935,tree sparrow,1975-05-29,5,149
1976,HV.0010.0,52.044799,5.851935,pied flycatcher,1976-05-19,6,140
1977,HV.0010.0,52.044799,5.851935,tree sparrow,1977-05-01,5,121
1978,HV.0010.0,52.044799,5.851935,tree sparrow,1978-05-05,6,125
1979,HV.0010.0,52.044799,5.851935,tree sparrow,1979-06-11,6,162
1980,HV.0010.0,52.044799,5.851935,pied flycatcher,1980-05-10,6,131
1981,HV.0010.0,52.044799,5.851935,tree sparrow,1981-05-04,3,124
1982,HV.0010.0,52.044799,5.851935,tree sparrow,1982-04-27,7,117
1983,HV.0010.0,52.044799,5.851935,blue tit,1983-05-15,7,135
1984,HV.0010.0,52.044799,5.851935,great tit,1984-05-13,10,134
1985,HV.0010.0,52.044799,5.851935,blue tit,1985-04-23,8,113
1986,HV.0010.0,52.044799,5.851935,great tit,1986-06-18,10,169
1987,HV.0010.0,52.044799,5.851935,great tit,1987-04-25,10,115
1988,HV.0010.0,52.044799,5.851935,pied flycatcher,1988-05-07,6,128
1989,HV.0010.0,52.044799,5.851935,blue tit,1989-06-08,6,159
