dataset;sub_dataset;start_date;end_date;variable;description;description_sub
KNMI;Hourly in situ;1-1-2024;1-6-2024;Q: Global radiation (in J/cm2) during the hourly division;This dataset contains climate data from the KNMI, you can find this data aswell on: https://dataplatform.knmi.nl/;The data is from weather stations. It returns the hourly data from all weather stations within your selected area. In case there are no weather stations in your area it will return the data from the closest weather station (based on the distance from the centroid of your area).
KNMI;Hourly in situ;1-1-2024;1-6-2024;DR: Precipitation duration (in 0.1 hour) during the hourly division;This dataset contains climate data from the KNMI, you can find this data aswell on: https://dataplatform.knmi.nl/;The data is from weather stations. It returns the hourly data from all weather stations within your selected area. In case there are no weather stations in your area it will return the data from the closest weather station (based on the distance from the centroid of your area).
KNMI;Hourly in situ;1-1-2024;1-6-2024;RH: Hourly precipitation amount (in 0.1 mm) (-1 for <0.05 mm);This dataset contains climate data from the KNMI, you can find this data aswell on: https://dataplatform.knmi.nl/;The data is from weather stations. It returns the hourly data from all weather stations within your selected area. In case there are no weather stations in your area it will return the data from the closest weather station (based on the distance from the centroid of your area).
KNMI;Hourly in situ;1-1-2024;1-6-2024;"P: Air pressure (in 0.1 hPa) reduced to mean sea level; at the time of observation";This dataset contains climate data from the KNMI, you can find this data aswell on: https://dataplatform.knmi.nl/;The data is from weather stations. It returns the hourly data from all weather stations within your selected area. In case there are no weather stations in your area it will return the data from the closest weather station (based on the distance from the centroid of your area).
KNMI;Hourly in situ;1-1-2024;1-6-2024;"VV: Horizontal visibility at the time of observation (0=less than 100m; 1=100-200m; 2=200-300m;...; 49=4900-5000m; 50=5-6km; 56=6-7km; 57=7-8km; ...; 79=29-30km; 80=30-35km; 81=35-40km;...; 89=more than 70km)";This dataset contains climate data from the KNMI, you can find this data aswell on: https://dataplatform.knmi.nl/;The data is from weather stations. It returns the hourly data from all weather stations within your selected area. In case there are no weather stations in your area it will return the data from the closest weather station (based on the distance from the centroid of your area).
KNMI;Hourly in situ;1-1-2024;1-6-2024;"N: Cloud cover (in octants); at the time of observation (9=sky invisible)";This dataset contains climate data from the KNMI, you can find this data aswell on: https://dataplatform.knmi.nl/;The data is from weather stations. It returns the hourly data from all weather stations within your selected area. In case there are no weather stations in your area it will return the data from the closest weather station (based on the distance from the centroid of your area).
KNMI;Hourly in situ;1-1-2024;1-6-2024;U: Relative atmospheric humidity (in percents) at 1.50 m at the time of observation;This dataset contains climate data from the KNMI, you can find this data aswell on: https://dataplatform.knmi.nl/;The data is from weather stations. It returns the hourly data from all weather stations within your selected area. In case there are no weather stations in your area it will return the data from the closest weather station (based on the distance from the centroid of your area).
KNMI;Hourly in situ;1-1-2024;1-6-2024;"WW: Present weather code (00-99); description for the hourly division.";This dataset contains climate data from the KNMI, you can find this data aswell on: https://dataplatform.knmi.nl/;The data is from weather stations. It returns the hourly data from all weather stations within your selected area. In case there are no weather stations in your area it will return the data from the closest weather station (based on the distance from the centroid of your area).
KNMI;Hourly in situ;1-1-2024;1-6-2024;"IX: Indicator present weather code (1=manned and recorded (using code from visual observations); 2;3=manned and omitted (no significant weather phenomenon to report; not available); 4=automatically recorded (using code from visual observations); 5;6=automatically omitted (no significant weather phenomenon to report; not available); 7=automatically set (using code from automated observations)";This dataset contains climate data from the KNMI, you can find this data aswell on: https://dataplatform.knmi.nl/;The data is from weather stations. It returns the hourly data from all weather stations within your selected area. In case there are no weather stations in your area it will return the data from the closest weather station (based on the distance from the centroid of your area).
KNMI;Hourly in situ;1-1-2024;1-6-2024;"M: Fog 0=no occurrence; 1=occurred during the preceding hour and/or at the time of observation";This dataset contains climate data from the KNMI, you can find this data aswell on: https://dataplatform.knmi.nl/;The data is from weather stations. It returns the hourly data from all weather stations within your selected area. In case there are no weather stations in your area it will return the data from the closest weather station (based on the distance from the centroid of your area).
KNMI;Hourly in situ;1-1-2024;1-6-2024;"R: Rainfall 0=no occurrence; 1=occurred during the preceding hour and/or at the time of observation";This dataset contains climate data from the KNMI, you can find this data aswell on: https://dataplatform.knmi.nl/;The data is from weather stations. It returns the hourly data from all weather stations within your selected area. In case there are no weather stations in your area it will return the data from the closest weather station (based on the distance from the centroid of your area).
KNMI;Hourly in situ;1-1-2024;1-6-2024;"S: Snow 0=no occurrence; 1=occurred during the preceding hour and/or at the time of observation";This dataset contains climate data from the KNMI, you can find this data aswell on: https://dataplatform.knmi.nl/;The data is from weather stations. It returns the hourly data from all weather stations within your selected area. In case there are no weather stations in your area it will return the data from the closest weather station (based on the distance from the centroid of your area).
KNMI;Hourly in situ;1-1-2024;1-6-2024;"O: Thunder  0=no occurrence; 1=occurred during the preceding hour and/or at the time of observation";This dataset contains climate data from the KNMI, you can find this data aswell on: https://dataplatform.knmi.nl/;The data is from weather stations. It returns the hourly data from all weather stations within your selected area. In case there are no weather stations in your area it will return the data from the closest weather station (based on the distance from the centroid of your area).
KNMI;Hourly in situ;1-1-2024;1-6-2024;"Y: Ice formation 0=no occurrence; 1=occurred during the preceding hour and/or at the time of observation";This dataset contains climate data from the KNMI, you can find this data aswell on: https://dataplatform.knmi.nl/;The data is from weather stations. It returns the hourly data from all weather stations within your selected area. In case there are no weather stations in your area it will return the data from the closest weather station (based on the distance from the centroid of your area).
KNMI;Daily grid;1-1-2024;1-3-2024;precipitation;This dataset contains climate data from the KNMI, you can find this data aswell on: https://dataplatform.knmi.nl/;The data is projected data from weather stations, for more information see: https://developer.dataplatform.knmi.nl/edr-api#collections
KNMI;Daily grid;1-1-2024;1-3-2024;min temperature;This dataset contains climate data from the KNMI, you can find this data aswell on: https://dataplatform.knmi.nl/;The data is projected data from weather stations, for more information see: https://developer.dataplatform.knmi.nl/edr-api#collections
KNMI;Daily grid;1-1-2024;1-3-2024;max temperature;This dataset contains climate data from the KNMI, you can find this data aswell on: https://dataplatform.knmi.nl/;The data is projected data from weather stations, for more information see: https://developer.dataplatform.knmi.nl/edr-api#collections
KNMI;Daily grid;1-1-2024;1-3-2024;mean temperature;This dataset contains climate data from the KNMI, you can find this data aswell on: https://dataplatform.knmi.nl/;The data is projected data from weather stations, for more information see: https://developer.dataplatform.knmi.nl/edr-api#collections
KNMI;Daily grid;1-1-2024;1-3-2024;precipitation;This dataset contains climate data from the KNMI, you can find this data aswell on: https://dataplatform.knmi.nl/;The data is projected data from weather stations, for more information see: https://developer.dataplatform.knmi.nl/edr-api#collections
KNMI;Daily grid;1-1-2024;1-3-2024;min temperature;This dataset contains climate data from the KNMI, you can find this data aswell on: https://dataplatform.knmi.nl/;The data is projected data from weather stations, for more information see: https://developer.dataplatform.knmi.nl/edr-api#collections
KNMI;Daily grid;1-1-2024;1-3-2024;max temperature;This dataset contains climate data from the KNMI, you can find this data aswell on: https://dataplatform.knmi.nl/;The data is projected data from weather stations, for more information see: https://developer.dataplatform.knmi.nl/edr-api#collections
KNMI;Daily grid;1-1-2024;1-3-2024;mean temperature;This dataset contains climate data from the KNMI, you can find this data aswell on: https://dataplatform.knmi.nl/;The data is projected data from weather stations, for more information see: https://developer.dataplatform.knmi.nl/edr-api#collections
